Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.00369522,17.09080935,17.11913341,17.13753643,17.21888405,17.04946081,16.88118521,16.75058818,16.6552802,16.56999438,16.67364952,16.81694249,16.96818351,17.10835164,17.236284,17.02997591,16.83204654,16.67100085,16.57897552,16.5855379,16.90472331,17.30912992,18.26049643,19.24836413,20.2739497,21.3360294,22.44699605,21.7847638,21.01969402,19.82245797,17.95775607,6.855966519,6.537423879
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.65139871,45.81358193,45.85620839,46.06580529,46.50062284,46.81019731,47.01721372,47.09382975,47.18843324,47.26902716,47.31731822,47.38364235,47.45213053,47.517446,47.57865196,47.54744282,47.48390668,47.41707839,47.35395908,47.20991152,47.19721084,47.11502024,47.11743525,47.08549844,47.07163044,47.07411696,47.16454631,47.19472502,47.2340704,47.22251023,47.36426538,47.24966521,47.32825505
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Africa Western and Central,AFW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.04077373,46.0007838,45.99340105,46.01070273,46.04722215,46.03045388,46.03341785,46.0393644,46.05958557,46.08681521,46.0573798,46.02819643,45.97132974,45.91528544,45.86472946,45.78006451,45.752552,45.6885015,45.63363581,45.58659448,45.55355014,45.52661964,45.50665316,45.27765974,45.07705209,44.82047433,44.56043303,44.23666243,43.97708932,43.90453484,43.97014122,43.85664016,43.89539831
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.46325112,41.67186648,41.69101292,41.740555,41.76822779,41.86038383,42.15003178,42.27210175,42.37328456,42.51742418,42.56149476,42.50393698,42.65509164,42.81941579,43.00575226,43.22085556,43.469508,43.74996358,42.64958224,43.24002993,44.68059147,43.74921728,42.55070411,41.91467951,43.2690511,44.37379948,43.65705936,44.17879134,44.72402729,44.59830659,45.05560625,44.83620866,44.8605644
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.97990955,12.09317512,12.18215713,12.30015566,12.50032765,12.70450873,12.93833515,13.17775657,13.42516642,13.67731742,13.93783923,14.20623061,14.48025288,14.75930079,15.0469992,15.3414337,15.64194188,15.94691055,16.25824264,16.42005502,17.29795073,18.20721493,18.58514649,17.71611983,18.9314829,19.62121528,19.49589579,19.3708511,19.26537482,19.16042044,19.65362815,19.14228455,19.46466154
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49.98677031,50.0518473,50.17180615,50.31702721,50.39144316,50.36406853,50.35184418,50.37153949,50.43315775,50.50002402,50.51654938,50.53832452,50.53967735,50.52830092,50.51245648,50.44990314,50.39388446,50.34305565,50.29924814,50.2639505,49.6962054,49.69691477,49.70389429,49.71612826,49.73138587,49.74802629,49.76511785,49.7844603,49.80473135,49.79395175,50.05481541,49.46027948,49.5058804
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.09251433,20.38133366,20.21019383,20.50435508,20.45022065,20.45533675,20.38636176,20.37273772,20.69331218,20.88983123,20.98667055,20.52555623,20.63559039,20.71928415,20.81967833,20.96366117,21.39218286,20.99158772,21.15358318,21.07314356,21.06488168,21.07660361,21.21987699,21.30488372,21.63231444,21.83715362,21.4837886,20.79552235,20.41403198,20.44526076,20.79382516,20.64694769,20.78255107
