Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Labor force, total",SL.TLF.TOTL.IN,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2999548,3241087,3629880,3925360,4097722,4237395,4373437,4514337,4661969,4699899,4725864,4979954,5303131,5511998,5734142,5989709,6130734,6302615,6580672,6827623,7150469,7519159,7858242,8230315,8576173,8884535,9224878,9214844,9194111,9060728,9253684,8617545,8696346
"Labor force, total",SL.TLF.TOTL.IN,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,125565797,129064475,132648877,136484615,140342147,143827219,147289933,151322364,155685864,160157081,164799997,169684352,174709130,179866743,185196240,190165759,195193577,200440365,205289378,209484986,216127941,222153692,229073223,235811180,243555925,250893521,258619245,266429319,274800540,280262128,290566617,300926527,310718751
"Labor force, total",SL.TLF.TOTL.IN,Africa Western and Central,AFW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,77381446,79612402,81876316,84136109,86507581,88992543,91517972,94180881,96863148,99562514,102391704,105278508,108209278,111262240,114304444,117417479,120549669,123652521,126818212,130007712,133467791,136365802,139230682,142300915,145878398,150113246,153746927,158087635,162511657,165636637,171060051,177630840,183510909
"Labor force, total",SL.TLF.TOTL.IN,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1417050,1426334,1405418,1387454,1362562,1344658,1359152,1343593,1324148,1313692,1300436,1304298,1290479,1275704,1259678,1241875,1221960,1201409,1247140,1259118,1376967,1317523,1217209,1244156,1295122,1341607,1363303,1393714,1415919,1342616,1364505,1386917,1370812
"Labor force, total",SL.TLF.TOTL.IN,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6701094,6939964,7222358,7514661,7782700,8061453,8293996,8525609,8754506,8981966,9201785,9412715,9614618,9808466,9991660,10164565,10332937,10500015,10659061,10949537,11194881,11429167,11935483,11411308,11844022,12058723,12214776,12370458,12542995,12008844,12326579,13152124,13552062
"Labor force, total",SL.TLF.TOTL.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5087042,5241353,5396780,5560406,5740808,5938305,6146613,6361235,6579820,6808173,7051988,7307581,7578139,7865309,8164986,8480492,8809817,9150702,9503150,9873442,10270426,10636117,11009075,11376793,11740075,12119717,12515638,12917806,13331121,13809872,14528762,14834437,15315118
"Labor force, total",SL.TLF.TOTL.IN,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62173722,64436957,67017002,69597079,71508226,73498923,75548160,77627937,80876409,82996526,84771820,86372682,89486061,92656735,95899837,99335515,103165053,106215516,109390308,112828803,115663085,118085633,121776291,124077753,126379586,129654903,130413378,131724847,134057521,134327086,138188918,144716798,147810290
"Labor force, total",SL.TLF.TOTL.IN,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13909011,14315318,14738028,15108494,15243917,15609253,16047007,16368903,16475329,16655680,16719189,16559002,17023210,17501501,17624021,17957325,18001970,18042261,18399678,18469612,18857276,19006356,19110958,19176594,19342573,19497873,19644345,20127526,20580641,19316749,20994581,21209469,21532713
"Labor force, total",SL.TLF.TOTL.IN,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1637204,1597273,1515286,1459635,1429505,1419891,1411421,1413743,1424618,1475532,1490938,1496671,1495968,1495455,1496060,1497755,1499898,1495751,1508454,1504133,1497447,1493700,1491842,1485961,1479945,1472930,1463998,1458384,1484916,1468681,1485551,1471922,1474953
"Labor force, total",SL.TLF.TOTL.IN,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8521757,8589287,8619248,8781807,8978015,9101367,9160767,9253383,9338152,9522709,9692586,9839562,10014043,10126476,10427428,10652813,10939136,11228576,11473436,11662961,11844196,12008516,12179476,12319396,12556049,12730637,13009297,13311592,13590351,13584002,13797733,14069819,14503566
"Labor force, total",SL.TLF.TOTL.IN,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3569592,3652295,3684761,3851617,3882448,3852503,3838277,3877414,3902324,3902067,3896148,3973538,4014544,3973290,4039722,4107193,4193758,4237188,4279069,4294981,4323353,4371940,4414654,4438424,4490534,4573471,4600443,4638758,4659058,4641899,4690012,4763761,4828678
"Labor force, total",SL.TLF.TOTL.IN,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3457915,3589853,3745858,3902390,4029355,4095596,4146902,4192250,4256644,4309262,4285441,4262260,4244981,4179954,4180862,4159187,4048455,4098494,4221996,4281359,4366343,4449845,4507492,4598879,4685344,4807925,4887056,4976781,5251219,5222270,5317119,5481323,5536769
"Labor force, total",SL.TLF.TOTL.IN,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,144972,149040,153031,156873,160031,163119,166442,168759,172470,175551,178539,181529,184382,187550,190999,194697,198699,202305,205487,209209,212683,215986,218381,221031,223348,225707,228127,230399,232258,217474,225439,232107,234973
"Labor force, total",SL.TLF.TOTL.IN,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,218279,224339,231284,238808,246732,255093,264029,273636,284016,295227,312008,344313,380193,418255,459970,507157,560743,608861,665243,701868,676942,692298,719151,743712,771824,811015,864823,870645,858028,841488,868789,886397,918108
