Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,0.441399992,..,..,..,..,..,1,0.536690652,..
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.832260013,0.83859998,0.843819976,0.851580024,0.855650008,0.859120011,0.867120028,0.873809993,0.877129972,0.886870027,0.897790015,0.896650016,0.895200014,0.90474999,0.914349973,0.87134999,0.878489971,0.884419978,0.886389971,0.869019985,0.883650005,0.883249998,0.889590025,0.897350013,0.920000017,0.928799987,0.936249971,0.94313997,0.949129999,0.957409978,0.96746999,0.973649979,0.978349984,0.981339991,0.986339986,0.990740001,0.994440019
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,Africa Western and Central,AFW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.682869971,0.684679985,0.694000006,0.701309979,0.711070001,0.721660018,0.732770026,0.742640018,0.752770007,0.763939977,0.772050023,0.783840001,0.79400003,0.798200011,0.807009995,0.731100023,0.743719995,0.755850017,0.769640028,0.772520006,0.773980021,0.785759985,0.767170012,0.776750028,0.77038002,0.78579998,0.797299981,0.796750009,0.797839999,0.808359981,0.817990005,0.827820003,0.831650019,0.845589995,0.846310019,0.845889986,0.847060025,0.84799999,0.84859997
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,1,1.018528104,..,1,1,..,..,..,..,1.00940001,..,..,..,..,1.00801003,..
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,1,..,1,..,..,..,..,..,..,..,..,..,0.996500015,1.230156898,..,..,..,..
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,1,0.802999973,..,..,..,..,..,..,0.93945998,..
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.68125999,0.687219977,0.695930004,0.704859972,0.714420021,0.713530004,0.725619972,0.73706001,0.747359991,0.75733,0.767319977,0.777040005,0.787119985,0.792900026,0.802320004,0.791350007,0.801389992,0.810670018,0.821699977,0.832650006,0.843349993,0.85424,0.864269972,0.873269975,0.882489979,0.870329976,0.879630029,0.884840012,0.901069999,0.907000005,0.911960006,0.899869978,0.903779984,0.902800024,0.91237998,0.92335999,0.927359998,0.931590021,0.929899991,0.93392998,0.937979996,0.941280007,0.943979979,0.946389973,0.949109972,0.951200008
