Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Rural population growth (annual %),SP.RUR.TOTL.ZG,Afghanistan,AFG,..,1.6528056,1.724247789,1.775077316,1.818906839,1.881381104,1.90381663,1.930541598,1.970791936,1.991162133,2.029575892,1.999795117,1.999446952,2.07819079,2.055501318,1.927784261,1.71079278,1.61119828,1.473835074,-0.229461049,-4.281939096,-10.49701972,-8.961629379,-1.396800759,1.708732555,1.31538504,-0.865011783,-1.116396793,0.320594254,2.884773994,1.321748549,1.478346565,8.04331557,11.69402757,8.274097487,4.778917902,3.89050178,3.688206064,3.64952124,3.611540101,1.094173611,0.645155903,5.133752466,6.026783965,3.386335407,3.256936188,3.828437943,1.625029544,1.916958601,3.374754107,2.661009698,3.414445039,3.768717097,3.136974704,3.349149997,2.833128668,2.246726195,2.501117262,2.58251101,2.636158019,2.786587007,1.966011728,1.025012214,1.702684535
Rural population growth (annual %),SP.RUR.TOTL.ZG,Africa Eastern and Southern,AFE,..,2.36360571,2.411523565,2.413312871,2.453467755,2.483268511,2.466571439,2.493349536,2.530424496,2.514515453,2.533397776,2.523688229,2.449586109,2.532500423,2.620911974,2.558248959,2.55134963,2.442276873,2.581078046,2.740544737,2.610405567,2.725367109,2.85928522,2.692895096,2.513095891,2.436805225,2.360807564,2.368472767,2.269879535,2.194878148,2.212700848,2.191815644,2.110182618,2.194136359,2.092920026,2.108890531,2.288011468,2.210302718,2.214653794,2.247026056,2.226601206,2.194787413,2.187635125,2.201343889,2.218938013,2.205329451,2.229180999,2.351114866,2.158959924,2.158946377,2.137541522,2.065801777,2.082564732,2.104955643,2.025590678,1.97493127,1.93620847,1.925119498,1.981183652,1.972214331,1.929191369,1.85577184,1.781829628,1.700794409
Rural population growth (annual %),SP.RUR.TOTL.ZG,Africa Western and Central,AFW,..,1.665793057,1.680977774,1.694625298,1.685571043,1.692999174,1.747674394,1.741737153,1.759264385,1.781075988,1.827471856,1.763748082,1.774123532,1.828179833,1.886592778,1.946243469,1.926969132,2.007724806,2.078655636,2.226428432,2.216157601,2.058519431,2.11148206,1.92378564,1.775258127,1.81084919,1.818590195,1.819165565,1.836887842,1.873111026,1.802747341,2.022252177,2.152408853,2.100071709,2.069978467,2.144883116,2.129835601,2.052593344,2.073116477,2.031435813,2.042208116,1.871981747,1.868312759,1.848349852,1.840803667,1.825783575,1.786397221,1.774561504,1.772333472,1.721175708,1.694597731,1.727356334,1.678773547,1.63178453,1.619642486,1.574306275,1.545465876,1.493219712,1.394664967,1.291603657,1.235056349,1.210239441,1.170702808,1.244439728
Rural population growth (annual %),SP.RUR.TOTL.ZG,Albania,ALB,..,2.776793981,2.952387007,2.85083972,2.77613847,2.649382395,2.529767003,2.525335161,2.737535125,2.74721952,2.269961202,2.13983333,2.209552174,2.076322862,2.008679877,2.010291407,1.916489399,1.919233574,1.780786415,1.692144604,1.653195751,1.606684003,1.713850761,1.716782688,1.698212263,1.647098956,1.521078917,1.580074453,1.467974069,2.26583939,1.375264651,-1.031569348,-1.477534579,-1.490477174,-1.510146215,-1.525393407,-1.545737004,-1.558245659,-1.577691905,-1.594233873,-1.614394032,-2.136817959,-2.169088757,-2.289748621,-2.382000972,-2.518952622,-2.686833451,-2.860733909,-2.921578419,-2.867395703,-2.743291493,-2.561111693,-2.508854494,-2.524864649,-2.556585404,-2.638588443,-2.505938185,-2.432825322,-2.578121102,-2.746066612,-2.878003312,-3.214804211,-3.482671893,-3.394335499
Rural population growth (annual %),SP.RUR.TOTL.ZG,Algeria,DZA,..,-0.099946922,-0.632210402,-0.666922096,-0.653167039,-0.863265442,-0.142312681,1.978089061,2.005695286,2.005125257,1.984069905,1.988021718,2.025202079,2.080655751,2.146493131,3.259062121,4.274118611,2.904375377,1.367696334,1.472958977,1.572685621,1.676725328,1.732663473,1.759557308,1.745682051,1.709923172,1.564454409,1.323190933,1.219170418,1.036891129,0.849817799,0.729574292,0.753417948,0.704285783,0.485682827,0.316086726,0.17614157,0.066624154,-0.235358436,-0.561417122,-0.579077246,-0.625034454,-0.698290266,-0.725166983,-0.685210364,-0.640483544,-0.590771918,-0.486343576,-0.366339526,-0.257821191,-0.228730166,-0.210604087,-0.168005067,-0.1298364,-0.104965369,-0.071743898,-0.062497599,-0.067600356,-0.148350636,-0.226764394,-0.337975809,-0.411242093,-0.417699151,-0.486677214
Rural population growth (annual %),SP.RUR.TOTL.ZG,American Samoa,ASM,..,1.328777673,1.725668362,1.780462463,1.859357021,1.879396186,1.738709041,1.643800574,1.630049028,1.591275382,1.080276804,0.498505519,0.297914818,0.185747066,0.148349638,0.369914109,0.515591616,0.452019583,0.389294896,0.290979837,0.699725379,0.766470818,1.020780377,0.951996377,0.885064587,0.81981869,0.733275513,0.659918199,0.610516311,0.528358264,-0.370682817,-2.426225281,-2.723244309,-2.897011299,-3.058872626,-3.20732788,-3.367321511,-3.470767828,-3.63882434,-3.806204797,-2.841057016,1.179638344,0.864362042,0.662154413,0.583266441,0.461207393,0.414753964,0.368867995,0.323482123,0.293169369,0.292312398,0.131262325,-0.087489069,-0.321449722,-0.528247743,-0.723517368,-0.89312889,-1.052166628,-1.185604403,-1.339202652,-0.934149717,-1.211754539,-2.01510097,-2.023567743
Rural population growth (annual %),SP.RUR.TOTL.ZG,Andorra,AND,..,1.532115867,0.967389412,0.369595099,-0.19694738,-0.692386545,-0.52245423,0.174454873,0.124424553,-0.44865479,-0.979046354,-1.448380039,-1.886117145,-2.268628025,-2.649519678,-3.031799446,-3.476862206,-3.87529863,-4.348511194,-4.912355307,-5.447484759,-5.948090991,-5.610383953,-5.358424613,-5.838567891,-6.38903375,0.751177241,7.216836682,6.690191411,5.50307053,6.883877641,10.85915362,9.736086164,8.657229905,5.787384939,2.575464265,3.778604039,4.780492568,4.670540108,4.130630629,3.587097444,4.616505229,6.081577158,9.450853721,11.78194052,8.995292942,7.5645339,7.616629192,4.762539239,1.309329964,-3.034173605,-2.866491996,-0.388483121,-1.336887492,-1.120067713,-1.31091337,0.840490299,2.996043877,2.619546872,2.37870482,1.747617293,1.738621129,2.080158208,1.734737379
Rural population growth (annual %),SP.RUR.TOTL.ZG,Angola,AGO,..,0.921678237,0.53345236,0.529554723,0.535381038,0.543686517,0.54177583,0.528331728,0.504653434,0.476431509,0.923346647,1.538852445,2.031116955,2.382786128,2.374311377,2.27404183,2.130988401,2.125095766,2.157878327,2.124076284,2.137517186,2.126445053,2.089625525,2.054936966,1.967519224,1.867758403,1.727321329,1.501435318,1.345732394,1.277881449,1.16931082,1.047970972,0.870020077,0.71002907,0.662939261,1.267794656,1.250928453,1.214696552,1.105888285,0.999075544,0.956117787,0.946842102,0.941238808,0.971217747,1.011493131,1.015278861,1.933274566,1.969158306,1.977629625,1.982542543,2.005833433,2.018121374,1.991037218,1.936719801,1.795566487,1.667940679,1.634526176,1.597224038,1.51482482,1.446642931,1.333511961,1.248671597,1.21616467,1.160654939
Rural population growth (annual %),SP.RUR.TOTL.ZG,Antigua and Barbuda,ATG,..,2.687606634,2.396560162,2.376432595,2.475198075,2.549656582,2.478563958,2.451171449,2.465841094,2.487552418,1.750390153,0.191830873,-0.297260509,-0.542962234,-0.562516255,-0.465636458,-0.240794499,0.033412091,0.15259898,0.245101078,0.249243497,0.113733308,0.059184907,0.106444641,-0.20352628,-0.57256372,-0.614209973,-0.639717436,-0.631695693,-0.594181707,-0.536325627,0.44835983,2.178651123,2.396428044,2.470286485,2.559628742,2.625616531,2.602706775,2.442116181,2.259305275,2.213320015,2.101858052,2.194331964,2.014354623,1.965525982,2.003974502,2.100238749,2.198230664,2.293929095,2.313941108,2.144092157,1.901281736,1.307248651,1.153570615,1.026053585,0.95748999,0.828684795,0.730887535,0.655596114,0.603493357,0.622928904,0.616208616,0.575424052,0.529653982
Rural population growth (annual %),SP.RUR.TOTL.ZG,Arab World,ARB,..,1.545886324,1.569163777,1.577051065,1.546253139,1.474274314,1.593882434,1.845594676,1.85039934,1.845215573,1.804807626,1.804650768,1.768032147,1.878819784,1.995422289,2.100254699,2.235446783,2.207728929,2.416091942,2.718361811,2.621688556,2.269889396,2.204712213,2.222167719,2.038087606,1.987254762,1.932975651,1.936698393,1.83094895,1.774194382,2.377337417,1.566202788,1.493950733,1.947313266,2.193214201,2.119927239,2.033758491,1.924172051,1.914775453,1.882465714,1.871510965,1.831061909,1.797604235,1.717037575,1.694353329,1.6388695,1.613818559,1.954433101,1.655126778,1.609533031,1.400289054,1.626997094,1.732013294,1.70609552,1.53577961,1.489027486,1.557985842,1.521433687,1.436680043,1.428897878,1.411402529,1.119212146,1.355300647,1.216190952
