Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,0.236829996,..,0.272089988,0.366109997,0.304049999,0.332480013,0.375840008,0.618369997,0.720000029,0.627149999,..,..,..,..,..,..,0.662739992,..,..,..,1.512889981,..,..,..,..,..,..,..,..,..,..,..,..,0.573949993,0.577600002,..,..,..,..,1.482380033,..,1.863540053,..,..,3.457720041,..,..,..,5.003819942,..,5.941740036,..,..,..
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..,..,..,..,1.629899979,1.632830024,1.636749983,1.652169943,1.691779971,1.711449981,1.732949972,1.748180032,1.78926003,1.810310006,1.853559971,1.88530004,1.942499995,1.965059996,2.025039911,2.092920065,2.197659969,2.291310072,2.382169962,2.508899927,2.485830069,2.605190039,2.722330093,2.918359995,3.170900106,3.108520031,3.084939957,3.078469992,3.111680031,3.187819958,3.413719893,3.699749947,3.984469891,4.196479797,4.450369835,4.662889957,4.962480068,5.095980167,5.408480167,5.907559872,6.385210037,6.645669937,7.097400188,7.362929821,7.467450142,7.621359825,7.828020096,8.075690269,8.193460464,8.169910431,8.271269798,8.236579895,..,..
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Africa Western and Central,AFW,..,..,..,..,..,..,..,..,..,..,0.253399998,0.252829999,0.264450014,0.284539998,0.307909995,0.332159996,0.376969993,0.45916,0.52323997,0.652570009,0.723420024,0.857829988,0.934759974,0.981880009,1.029019952,1.133430004,1.218960047,1.269400001,1.269549966,1.301759958,1.43919003,1.586130023,1.754600048,1.939970016,2.14586997,2.343810081,2.581969976,2.840480089,3.06159997,3.310270071,3.799969912,4.136119843,4.506869793,4.847980022,5.072810173,5.424940109,5.482560158,5.676099777,5.852890015,6.048970222,6.259719849,6.385519981,6.717239857,7.201409817,7.411459923,7.576109886,7.464360237,7.541890144,7.806940079,8.071949959,8.28260994,8.595399857,..,..
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,8.321430206,8.817890167,..,..,..,..,..,4.497779846,..,..,4.509769917,..,5.106910229,5.59844017,5.924550056,6.241759777,6.718719959,7.489590168,8.151479721,8.640110016,9.250089645,9.646459579,11.13368034,10.94849968,10.30897045,11.32763004,13.74252987,14.59080029,16.63320923,..,..,19.5883503,19.7989502,23.2279892,26.68289948,30.51972008,35.51934814,36.39458847,38.1325798,49.63365173,56.26863861,66.90876007,73.0355072,75.66271973,71.7403183,69.46341705,69.64897156,67.080513,73.04727936,74.02931976,72.87310028,74.84088135,77.03153229
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.90374947,23.61355972,24.18573952,27.99662971,..,36.67847824,37.11201859,39.19144821,40.89112854,43.38716888,44.35525131,47.54133987,56.1108017,59.82875061,67.03912354,68.25910187,67.89125824,67.94258118,68.01117706,67.41725922
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.19895935,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.941539764,7.289629936,7.580039978,8.211420059,10.14286041,..,13.75,..,..,..,16.71324921,18.20792961,16.64719963,17.32613945,17.91315079,17.3913002,16.72784042,16.40427017,15.65557957,16.63462067,35.14162064,70.14778137
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.188309997,..,..,..,..,..,..,..,0.479559988,0.411940008,..,..,0.59691,..,..,..,..,..,..,..,..,3.449300051,..,8.134579659,..,7.687369823,8.792090416,8.691207886,8.420124054,10.47688103,..,..,..,9.790579796
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.43551064,23.98996925,20.05525017,34.11957932,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,4.089950085,4.103849888,4.244890213,4.487810135,4.785309792,5.191269875,5.727680206,6.090310097,6.421569824,6.56870985,6.870540142,7.316430092,7.613430023,7.784619808,7.997829914,8.111020088,8.228289604,8.27602005,8.75028038,8.695420265,8.947910309,8.885760307,9.453350067,10.3081398,10.75965023,11.52834034,12.4417696,13.35641956,14.33111954,15.7438097,16.27721977,16.9801693,18.07737923,18.59526062,19.61797905,20.92910957,21.74397087,21.84096909,23.46257973,24.26193047,25.07261086,24.61437035,25.89052963,27.52750969,28.97340012,30.76534081,31.7843895,32.56138992,34.32963943,34.88945007,35.35688019,35.24871826,35.81608963,36.69107819
