Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Age dependency ratio, old",SP.POP.DPND.OL,Afghanistan,AFG,5.112019052,5.09290675,5.069175743,5.046569003,5.029459516,5.019890445,5.015824792,5.013904451,5.01248531,5.008866403,5.002360183,4.993309658,4.981931762,4.970098046,4.960522797,4.953758976,4.949363497,4.947378879,4.940867459,4.921228143,4.894224952,4.866201011,4.81870229,4.758277079,4.673958987,4.569747007,4.503273984,4.471570825,4.458408309,4.466229713,4.477908817,4.491603952,4.509740989,4.539041644,4.576033721,4.611381985,4.644440932,4.67498487,4.700056958,4.722149615,4.740773965,4.755047484,4.766448974,4.772818695,4.770630705,4.760307539,4.745497816,4.728546957,4.711788076,4.697165067,4.685760203,4.678145036,4.670521796,4.654039118,4.626969944,4.586443143,4.543515827,4.514026277,4.493968898,4.479337294,4.439145048,4.377707952,4.356127778,4.370776217
"Age dependency ratio, old",SP.POP.DPND.OL,Africa Eastern and Southern,AFE,5.631541527,5.607332596,5.585546395,5.570575141,5.562310788,5.562341432,5.569749335,5.582844562,5.600359498,5.618913575,5.638917419,5.660346039,5.681494849,5.69931844,5.712493852,5.72348301,5.737337216,5.753078691,5.768181272,5.786706565,5.795110257,5.797604811,5.803956422,5.801033805,5.797434535,5.795731815,5.790310841,5.79942103,5.800680698,5.780510448,5.757643686,5.74036196,5.737555789,5.719175086,5.702247034,5.704546515,5.722563202,5.738914607,5.727943815,5.712836536,5.702203533,5.690305384,5.676105617,5.660379343,5.643952178,5.628683352,5.612321046,5.59345473,5.569506918,5.5445056,5.526094117,5.515329411,5.517233557,5.528658484,5.547147707,5.568049048,5.591521627,5.623819605,5.668746734,5.721924204,5.759325012,5.777143145,5.805446115,5.853531734
"Age dependency ratio, old",SP.POP.DPND.OL,Africa Western and Central,AFW,6.009686737,6.038154029,6.085838661,6.133260013,6.175398269,6.20371023,6.219198375,6.224596595,6.226870073,6.229867499,6.225014123,6.207716695,6.190838204,6.183463863,6.181088431,6.182292736,6.185647832,6.198391824,6.220866244,6.243364894,6.249368536,6.241918594,6.244820476,6.262587439,6.277090971,6.279787865,6.276608389,6.266627525,6.248952298,6.224832176,6.197935032,6.165185133,6.124545055,6.081896517,6.038170788,5.993217627,5.950061635,5.908224189,5.863579045,5.819544847,5.780749735,5.748218838,5.722778453,5.700621801,5.678097753,5.656723078,5.638492673,5.623381387,5.612670915,5.603137505,5.5951398,5.588099715,5.578131618,5.557236351,5.520229448,5.484579056,5.456618997,5.431411595,5.412409042,5.39950413,5.379629708,5.358756098,5.35196199,5.354869318
"Age dependency ratio, old",SP.POP.DPND.OL,Albania,ALB,10.28647943,10.15430693,9.951621752,9.779839148,9.633654476,9.515392772,9.423314512,9.350061632,9.290462581,9.231850032,9.165163518,9.097580684,9.043960051,9.013599601,8.993212407,8.985386296,8.991023443,9.009068866,9.038329496,8.967402034,8.82035901,8.687615527,8.56100893,8.457466027,8.393921024,8.44638023,8.533686519,8.555358184,8.556566648,8.576242181,8.686233314,8.861613956,9.081716733,9.35791969,9.660477791,9.99089424,10.31342232,10.61419119,10.92703887,11.26699164,11.6263082,12.0045945,12.40481397,12.82411093,13.2671845,13.74710716,14.2663678,14.80252641,15.31924105,15.78831824,16.20570919,16.54967271,16.8761593,17.28453179,17.77556061,18.32094123,18.86890559,19.44914151,20.12961224,20.95074513,21.808855,22.66109434,23.54637214,24.45688161
"Age dependency ratio, old",SP.POP.DPND.OL,Algeria,DZA,6.082562457,6.386250441,6.896716184,7.36864351,7.732995331,7.994939732,8.038811299,7.894243084,7.734365512,7.566037201,7.401486348,7.245200484,7.095620509,6.948002586,6.796539805,6.72052197,6.775942543,6.775781949,6.662191971,6.547254817,6.45384768,6.392934369,6.348663606,6.29548431,6.229915019,6.160769634,6.096663356,6.03844728,5.983716639,5.939260078,5.899068763,5.870069257,5.972295758,6.173037908,6.366026311,6.565924569,6.76183606,6.95110457,7.051618334,7.066576713,7.079664658,7.093821684,7.110533509,7.130926401,7.154985136,7.18225095,7.208238506,7.225133106,7.229309243,7.227293907,7.233878759,7.265948644,7.339016732,7.47152271,7.664655228,7.902298572,8.171819492,8.464907562,8.772523544,9.082183145,9.316736525,9.535644281,9.824966179,10.12460218
"Age dependency ratio, old",SP.POP.DPND.OL,American Samoa,ASM,5.472534268,5.298210736,5.111302188,4.971002486,4.933771891,4.972043011,4.994163749,5.038414881,5.052878966,4.984848485,4.913464359,4.834460662,4.766523486,4.728132388,4.750296482,4.790572563,4.830198051,4.880544021,4.96031746,5.050962627,5.102264027,5.113010646,5.135026604,5.193056691,5.236470914,5.262459647,5.288196067,5.330229139,5.395739998,5.471055619,5.559426455,5.651316968,5.718397866,5.763540018,5.787661987,5.785534508,5.753665117,5.691679428,5.631554234,5.589508922,5.645405536,5.813498631,6.000719727,6.171620125,6.3058486,6.390214797,6.439416493,6.467321911,6.485733756,6.496773812,6.596391768,6.824201048,7.10334275,7.44023875,7.807432533,8.159529454,8.509284784,8.861417949,9.210973988,9.557788001,9.950358175,10.42809407,10.95724314,11.627078
"Age dependency ratio, old",SP.POP.DPND.OL,Andorra,AND,10.61354582,9.864546525,9.229929001,8.675219103,8.1061863,7.659904667,7.460053953,7.447528775,7.518189167,7.624364636,7.69943625,7.748998283,7.798408488,7.831436481,7.862084739,7.957997975,8.120915848,8.314585677,8.531895142,8.780671636,9.096335204,9.42995755,9.733231983,10.03393117,10.34174152,10.74414317,11.11347023,11.60592222,12.21784006,12.89459312,13.31270973,12.99915855,12.94228652,13.30901489,13.71545548,14.33632449,14.98840006,15.50163519,15.91665098,16.40807963,17.03713059,17.75048017,18.37544066,18.02410409,16.91548723,16.29373223,16.15521917,16.24758543,16.60293493,17.19834697,17.6291116,17.67275331,17.6587877,17.7825587,17.94527288,18.01347777,18.10753517,18.32003613,18.65579623,19.08104889,19.64113551,20.17458778,20.6826613,21.31621243
"Age dependency ratio, old",SP.POP.DPND.OL,Angola,AGO,5.678100093,5.727661828,5.763021905,5.790880795,5.814733385,5.827132519,5.821291879,5.797972871,5.75879648,5.707262347,5.639583857,5.543301872,5.413103784,5.266861378,5.124354622,4.986741279,4.854668888,4.731150979,4.618703207,4.519487219,4.432644894,4.359698736,4.301264188,4.251402566,4.211409379,4.188688745,4.185153359,4.191861518,4.209139133,4.244788917,4.295539394,4.36824831,4.453017711,4.545301109,4.65201485,4.761503852,4.866717668,4.964270618,5.046053675,5.115037593,5.171123467,5.213955225,5.245987364,5.269240375,5.28229914,5.281763377,5.27331157,5.261368343,5.250613943,5.242190891,5.236728064,5.234358222,5.23168951,5.219176939,5.193993513,5.172120783,5.16027801,5.157588445,5.16801297,5.189759719,5.215992873,5.243383887,5.285692571,5.343306285
"Age dependency ratio, old",SP.POP.DPND.OL,Antigua and Barbuda,ATG,6.869568006,7.082018927,7.426576043,7.822384053,8.250500077,8.652184646,8.966837522,9.199481545,9.344615385,9.407484407,9.55337231,9.845434087,10.198896,10.58962672,10.97637347,11.34159332,11.68609297,12.00811908,12.30891931,12.5953999,12.87136353,13.13021216,13.39803882,13.66646896,13.92087393,14.2019157,14.45662762,14.63131899,14.73842163,14.77649113,14.73299839,14.50269854,14.07483522,13.61839215,13.21279886,12.83073998,12.44319852,12.07865788,11.7634404,11.51048892,11.34474529,11.22319285,11.09438745,10.93880728,10.77661181,10.6085033,10.45949769,10.35755437,10.29476618,10.28341201,10.35301701,10.49930005,10.68078966,10.88675127,11.13685758,11.46760701,11.90927757,12.39315574,12.84038866,13.31989289,13.88586582,14.50309373,15.17612286,15.93218794
"Age dependency ratio, old",SP.POP.DPND.OL,Arab World,ARB,6.552013426,6.624654233,6.711665139,6.787359358,6.849332169,6.898663137,6.920412593,6.915120185,6.89956331,6.874791911,6.845273905,6.813216395,6.779884547,6.739661387,6.69231214,6.651634896,6.613478599,6.556067743,6.478074293,6.398104746,6.323537502,6.257757435,6.199491779,6.148283371,6.111807687,6.086024241,6.070359811,6.062733571,6.056121563,6.052002268,6.034926401,6.029808379,6.039430192,6.065824167,6.091713771,6.119401926,6.152564305,6.185110195,6.200568433,6.19975276,6.18836248,6.169031319,6.147871099,6.123452401,6.090669,6.050907875,6.003423662,5.947987431,5.907242187,5.888796951,5.903039302,5.929373626,5.974726716,6.036308067,6.111229767,6.188423004,6.289437229,6.429176203,6.596786632,6.760843447,6.884967689,6.982291712,7.06456886,7.203319005
