Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Age dependency ratio, young",SP.POP.DPND.YG,Afghanistan,AFG,75.94937039,76.1911292,76.43763259,76.8080115,77.34355387,78.07632348,78.93295893,79.7800089,80.6177942,81.44809575,82.25530643,83.03304275,83.79370406,84.54064217,85.28325498,86.01346194,86.72496314,87.42768859,88.12431571,88.82591561,89.55754073,90.29354281,90.99825266,91.59361458,92.15817887,92.73252772,93.27057259,93.75113251,94.21198443,94.66488813,95.18660025,95.84220173,96.62122341,97.45769276,98.42065054,99.48122476,100.5795124,101.7374038,102.8935587,103.9638812,104.8452738,105.4642939,105.7681621,105.7847209,105.5146773,104.9682179,104.1436374,103.0087036,101.6225874,100.1023024,98.45869549,96.78016326,95.10260914,93.40951969,91.71942384,90.02679057,88.34635539,86.77959241,85.35563708,84.03269032,82.80867187,81.70576023,80.60636155,79.46539663
"Age dependency ratio, young",SP.POP.DPND.YG,Africa Eastern and Southern,AFE,82.96999831,83.31013345,83.65661339,84.07532799,84.505689,84.98762707,85.53007574,86.04153074,86.51049995,86.94961704,87.41370636,87.9150407,88.41929316,88.85085015,89.11492124,89.27088712,89.46074731,89.61268271,89.60384068,89.59308139,89.541177,89.4442354,89.33883232,89.07946151,88.74630955,88.43582246,88.1661976,87.94131623,87.72189718,87.51711889,87.3087823,87.07864008,87.03263111,86.92437835,86.61475736,86.56845411,86.98015228,87.2442539,86.92520193,86.41171258,85.91444005,85.39925168,84.90399367,84.4561001,84.05190498,83.70960858,83.40142356,83.08015818,82.72992048,82.36340433,81.91082572,81.33962457,80.73868836,80.11727675,79.47223436,78.74459226,78.03945593,77.27482023,76.3764881,75.51555439,74.66109764,73.82842416,73.03765379,72.25683141
"Age dependency ratio, young",SP.POP.DPND.YG,Africa Western and Central,AFW,75.22480717,75.54987808,75.95242541,76.50604172,77.18383593,77.79138466,78.31470532,78.84164733,79.37860663,79.93245287,80.47036888,81.02266994,81.60128649,82.17029506,82.7569595,83.37652045,84.04227535,84.71911605,85.38895472,86.02763281,86.64083164,87.2174005,87.69251634,88.16547024,88.67312027,89.09249424,89.37750633,89.53465501,89.55221629,89.44205459,89.23309339,88.9250855,88.49766714,87.98782603,87.45978676,86.93298212,86.44933394,86.00290994,85.49374805,85.02295874,84.7044975,84.51717858,84.37623642,84.23568773,84.12224284,84.075793,84.10914053,84.15998857,84.09845808,83.94832453,83.82842274,83.70831086,83.59921008,83.45121152,83.24919209,82.97172573,82.49468981,81.83664963,81.04954957,80.1387006,79.075121,77.90967313,76.70046186,75.41551344
"Age dependency ratio, young",SP.POP.DPND.YG,Albania,ALB,77.1959674,78.86313943,79.7175996,80.1198037,80.21958127,80.24002426,80.26288544,80.23198168,80.02477057,79.46934743,78.55077126,77.38454038,76.01015059,74.45136296,72.73031652,70.85028993,68.84216161,66.78348651,64.90576064,63.30326848,61.91132805,60.68786406,59.52229024,58.353882,57.24038348,56.32417009,55.46926079,54.51491221,53.79350679,53.32669259,52.79619228,52.21695669,51.70545254,51.23366361,50.74335025,50.29180165,49.84727259,49.27851555,48.57562959,47.79727151,46.97142083,45.8305761,44.33188824,42.78988688,41.2539384,39.69643361,38.14686752,36.63631279,35.15672186,33.67441077,32.19770473,30.84424381,29.75440754,28.94493865,28.32354655,27.74274119,27.1729444,26.72563599,26.37934709,26.09162899,25.87757919,25.78047994,25.70473675,25.56704816
"Age dependency ratio, young",SP.POP.DPND.YG,Algeria,DZA,88.69519335,90.44168848,91.97915243,93.60230388,94.97238055,95.80635905,96.22033391,96.3256926,96.05004336,95.56910564,95.11518445,94.724916,94.31473355,93.8140457,93.14874891,93.57096147,95.30138445,95.7709079,94.75634558,93.61169243,92.41519475,91.17009873,89.86625787,88.4958983,87.05082513,85.53647466,83.91343549,82.20658449,80.41265129,78.55156892,76.6352394,74.82674598,73.56023249,72.31124537,70.52020471,68.3715635,65.95514493,63.35524683,60.42698775,57.33040507,54.4414246,51.78906672,49.34481181,47.15780528,45.29042516,43.76085256,42.56503589,41.66368833,41.03974123,40.68789495,40.5897564,40.73204823,41.15641163,41.95531389,43.03094056,44.16045005,45.26368168,46.36465839,47.37756234,48.18562555,48.75241839,49.02070303,48.97616104,48.6463963
"Age dependency ratio, young",SP.POP.DPND.YG,American Samoa,ASM,102.0199938,100.1292247,98.36629407,97.23833195,96.62192195,96.36989247,96.23978656,96.03720178,95.61300431,94.82575758,93.28248753,91.1997152,89.18525703,87.34211415,85.49874819,83.43794031,81.16967778,78.79280255,76.38888889,73.94677237,72.09887346,71.00005244,70.09336412,69.21190556,68.39218217,67.66019546,67.03903496,66.51145693,66.00644502,65.51267499,65.4772819,65.93800394,66.42328079,66.82953685,67.17062635,67.46588952,67.67545428,67.74502297,67.58804195,67.15702835,66.55157793,65.86224536,65.1202543,64.34707132,63.49780341,62.51789976,61.39029473,60.15381418,58.92566146,57.85532469,56.47680633,54.71720323,53.23387476,52.13781284,51.27793151,50.52366234,49.75614189,48.98564915,48.24471869,47.57612744,46.38997109,44.75127672,43.2929164,42.36689459
"Age dependency ratio, young",SP.POP.DPND.YG,Andorra,AND,40.9561753,41.53415783,42.12179137,42.66480376,43.1618867,43.48741825,44.29342187,45.73943321,46.7618791,46.99608366,46.5750251,45.67115054,44.43633952,43.03291295,41.55183258,40.07249081,38.71402205,37.42969629,36.17877194,34.86307679,33.28558354,31.44708914,30.57516198,30.41686864,29.77891213,28.56416288,27.60471959,27.00485762,26.00766412,25.33588203,24.58053691,23.23596586,22.29910363,21.66261359,21.24997389,21.24567768,21.19702871,21.01065513,20.86863742,20.99155236,21.22379389,21.23936765,21.18096357,20.85623488,20.411293,20.43692492,20.43387224,20.09591687,19.84018041,19.82816354,20.70585009,21.57536699,21.61397912,21.67921659,21.59185527,21.34816274,20.99633841,20.47832305,19.66983823,18.93125914,18.51276558,18.02133851,17.48604514,16.93225729
"Age dependency ratio, young",SP.POP.DPND.YG,Angola,AGO,74.26029306,75.44097118,76.76232955,78.28548187,80.12585953,82.05094705,83.86211739,85.5338771,87.01346773,88.29748167,89.76462839,90.86502116,90.73644135,89.9291419,89.03546706,88.17639377,87.38390413,86.55345809,85.71151889,84.98684334,84.33965903,83.82095416,83.44231136,83.12840069,82.94833801,83.01682608,83.3926036,84.00283963,84.67000163,85.32609521,85.96136985,86.64151861,87.29123176,87.89606505,88.44736432,88.76199318,88.86214724,88.81601992,88.659729,88.47163961,88.22393119,87.92865057,87.62300092,87.31091688,87.0214756,86.78993629,86.62333624,86.51434486,86.49313043,86.54135598,86.59165855,86.6225445,86.66768749,86.73052661,86.85656838,87.00838112,87.0277261,86.91396585,86.73475645,86.45727991,86.15383462,85.79301442,85.30381929,84.71191899
"Age dependency ratio, young",SP.POP.DPND.YG,Antigua and Barbuda,ATG,71.45697701,71.27444795,71.33503773,71.57404265,73.37744268,76.39471735,79.07737911,81.6318973,83.91384615,85.70991806,84.91652101,81.81925856,78.52156897,75.01875036,71.36635354,67.60666031,64.0103607,60.82543978,57.93699322,55.39466806,53.06993852,50.78198271,48.66169702,46.80950969,45.71400453,45.66740094,46.0823738,46.51731264,47.07393372,47.81626313,48.59118454,48.40400925,47.33465327,46.44896764,45.80468657,45.29601373,44.93251645,44.56030511,44.01824323,43.33249254,42.78248704,42.24584905,41.46235196,40.60317151,39.68882008,38.63414817,37.63067482,36.74204234,35.96288522,35.26655254,34.38226263,33.37777482,32.39653702,31.48492442,30.71465098,29.91508405,29.11017414,28.45910726,27.84069811,27.28769737,26.89802112,26.58620426,26.27216771,25.82448465
"Age dependency ratio, young",SP.POP.DPND.YG,Arab World,ARB,81.77281214,82.58999777,83.31144085,84.03577525,84.69629139,85.2703797,85.75707694,86.11097048,86.28368865,86.33283046,86.37194544,86.41951093,86.4837478,86.57787661,86.56996547,86.58447676,86.70340455,86.54657033,86.08265942,85.60305295,85.14206599,84.70151841,84.25881491,83.77866005,83.3061199,82.82510775,82.32791907,81.78200399,81.16626078,80.48629569,79.74764873,78.68698648,77.63183383,76.5799392,75.47628652,74.28695181,73.03289686,71.70598078,70.27669755,68.79581088,67.36500593,65.97582758,64.594719,63.24058494,61.93184723,60.69605145,59.43377292,58.15641128,57.18157876,56.50468587,56.08880803,55.70482345,55.43443729,55.39048779,55.44877566,55.36407849,55.20747213,55.1054167,55.01716778,54.73626771,54.32110628,53.93287251,53.10466385,52.17848444
