Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Population growth (annual %),SP.POP.GROW,Afghanistan,AFG,..,1.96223912,2.044522836,2.105208225,2.161195472,2.23370858,2.269651429,2.306668007,2.360683434,2.392720378,2.445205745,2.428516313,2.442583899,2.534758939,2.526844215,2.415250485,2.213446083,2.128099564,2.008697854,0.323658823,-3.62580788,-9.819770739,-8.258034385,-0.669999257,2.46291172,2.092575239,-0.059334023,-0.282849651,1.182671147,2.998764795,1.434588211,1.591325884,8.15641941,11.80725911,8.388729602,4.89368012,4.005404674,3.804508034,3.764686638,3.72811604,1.212175976,0.762004897,5.252029585,6.145194002,3.575834854,3.51921696,4.092702017,1.89259754,2.186546182,3.646380908,2.934686702,3.691503084,4.047862563,3.418226676,3.632518847,3.119959241,2.535719918,2.808337308,2.910809599,2.984389136,3.153609203,2.356097792,1.43570437,2.13559385
Population growth (annual %),SP.POP.GROW,Africa Eastern and Southern,AFE,..,2.66224927,2.723434378,2.751207522,2.808572809,2.849731768,2.850185896,2.885662373,2.932711806,2.931600263,2.930631057,2.928935337,2.88338904,2.963641941,3.019615048,2.964972599,2.96026727,2.870010053,3.034658462,3.178559804,3.044372689,3.141507114,3.267858229,3.182234577,3.080514103,3.056781137,3.032604067,3.042115526,2.947305632,2.866056166,2.908029828,2.78887467,2.696188418,2.808198305,2.694992654,2.630243616,2.680503379,2.596752425,2.624682768,2.657593516,2.629362847,2.622438094,2.642102236,2.65366708,2.676564895,2.694131173,2.705723416,2.727991504,2.761070138,2.775044083,2.772256475,2.720982046,2.730115847,2.786358194,2.740997396,2.733523971,2.675919839,2.67727931,2.771986829,2.759056562,2.736283132,2.684848831,2.626658714,2.55285937
Population growth (annual %),SP.POP.GROW,Africa Western and Central,AFW,..,2.126118338,2.15440142,2.193730649,2.208937673,2.241025435,2.274764299,2.290459137,2.328412107,2.369267572,2.418565304,2.446143611,2.481388701,2.553859836,2.63342756,2.711655273,2.718738709,2.754938285,2.833365477,2.871688748,2.872775237,2.887513692,2.944902401,2.77013716,2.66981317,2.771683901,2.777787958,2.775682497,2.786410603,2.809908175,2.69709677,2.67823844,2.79426623,2.737630706,2.690170595,2.760442291,2.757931313,2.756376725,2.800172842,2.769313862,2.789522361,2.841151817,2.850646284,2.854146186,2.868948779,2.880290233,2.866396817,2.86216533,2.866384053,2.831726162,2.826188791,2.863081165,2.820299892,2.76880017,2.767930276,2.73612177,2.708955678,2.661086689,2.565989483,2.470060792,2.417945168,2.391988858,2.359680498,2.414901204
Population growth (annual %),SP.POP.GROW,Albania,ALB,..,3.120855371,3.056730503,2.953748762,2.880686426,2.754021238,2.63456388,2.630190345,2.84251071,2.896083388,2.550851178,2.422972017,2.494973107,2.362552224,2.297214176,2.30115381,2.208235255,2.213252179,2.075741895,1.98945702,2.047963861,2.002974306,2.113271783,2.120885334,2.103936618,2.055994609,1.933220811,1.997039956,1.886710529,2.687861989,1.799085593,-0.602809679,-0.606434726,-0.610165793,-0.613880507,-0.617703658,-0.621511399,-0.625430097,-0.629334393,-0.633352274,-0.637356834,-0.938470428,-0.299876697,-0.374149169,-0.417931378,-0.511790116,-0.630911245,-0.755718755,-0.767342959,-0.673894046,-0.496461963,-0.269017332,-0.16515104,-0.183211385,-0.207047,-0.291205787,-0.159880412,-0.091972294,-0.246732042,-0.426007367,-0.574206959,-0.926918062,-1.21579032,-1.148417638
Population growth (annual %),SP.POP.GROW,Algeria,DZA,..,1.769480758,1.467295111,1.52505034,1.636453741,1.51689212,1.795949825,2.246594915,2.276569973,2.276737984,2.258075576,2.261122048,2.300710805,2.356930935,2.423521075,3.538550841,4.554385481,3.631340038,2.844559054,2.980676033,3.114112913,3.24408261,3.334118629,3.392653583,3.413444312,3.404054498,3.293653807,3.02312806,2.800888661,2.639923784,2.478967332,2.383576447,2.435250194,2.406099154,2.212501905,2.068697505,1.95770195,1.864019659,1.592536279,1.388528848,1.399668558,1.373291341,1.330394777,1.329615242,1.396440425,1.463308846,1.541273638,1.669071678,1.818853062,1.915885222,1.947058832,1.956894374,1.992807901,2.019531158,2.037865242,2.056247957,2.055691112,2.032000608,1.937806233,1.840412914,1.711912165,1.619364602,1.587582107,1.498976012
Population growth (annual %),SP.POP.GROW,American Samoa,ASM,..,2.612957795,3.01233338,3.088263177,3.167898588,3.181761051,3.07121021,2.967625273,2.975832242,2.927751479,2.438277382,1.858591963,1.664063755,1.563002527,1.532022077,1.767831159,1.917529982,1.858519102,1.802084581,1.70693442,2.474584982,3.579875197,3.869491254,3.827384829,3.776585565,3.741481083,3.685433528,3.632891062,3.60186916,3.549682408,3.156059007,2.628110887,2.385585685,2.260245216,2.15371701,2.05671216,1.962795697,1.873517177,1.772216744,1.638293709,1.073368218,0.34764933,0.015773562,-0.159602956,-0.26891895,-0.354388346,-0.430123416,-0.464054457,-0.509197909,-0.538813761,-0.541732698,-0.604780137,-0.742342325,-0.890369493,-1.004921364,-1.105856451,-1.204318086,-1.269387464,-1.323023571,-1.382578863,-0.89627488,-1.082992017,-1.81008765,-1.712902942
Population growth (annual %),SP.POP.GROW,Andorra,AND,..,7.814816969,7.519100475,7.211505955,6.883059787,6.593796452,7.023409391,7.954820766,8.116408607,7.722623394,7.384231728,7.077000364,6.827128546,6.598855179,6.347262685,6.09802462,5.815408933,5.489293645,5.133349038,4.687542409,4.212470768,3.803010686,4.201690034,4.541364497,4.124295853,3.605584643,4.263757297,4.110358342,3.63286712,2.407249672,3.831232878,7.453294682,6.04803216,4.97705409,2.095725883,-1.089301487,0.112591492,1.11281494,1.048578972,0.500412969,-0.038053199,0.253921086,0.988236937,4.383312427,6.732207545,4.081069274,2.756757126,2.839248826,1.956862869,0.469582601,-3.866965388,-3.689002364,-1.227564779,-2.157580998,-1.956673204,-2.142483826,0.009698313,2.16803975,1.878853322,1.730502969,1.177753549,1.263628895,1.696768086,1.433747569
Population growth (annual %),SP.POP.GROW,Angola,AGO,..,1.327797474,0.989638885,1.003666453,1.027683711,1.052132703,1.070045993,1.076727162,1.073516728,1.063745555,1.534110182,2.335723958,3.011399271,3.411452071,3.458902199,3.41255829,3.330146444,3.379374805,3.476853681,3.507543622,3.587939864,3.642460453,3.678035002,3.71606374,3.706036014,3.678647742,3.618425561,3.473748029,3.40339477,3.414571629,3.392403354,3.359054615,3.274142461,3.19559443,3.241689202,3.339988737,3.381608922,3.395515042,3.346795466,3.295276636,3.312287469,3.353709414,3.407476157,3.493342778,3.594457524,3.646268934,3.684892016,3.74258021,3.778289766,3.801561875,3.851098249,3.887945997,3.883583555,3.84998069,3.732728067,3.605071622,3.57644144,3.540612215,3.453233009,3.387884222,3.267958649,3.1813226,3.14302612,3.080655307
Population growth (annual %),SP.POP.GROW,Antigua and Barbuda,ATG,..,1.671119563,1.398034643,1.389079612,1.50568747,1.596806767,1.538873754,1.52687161,1.55964845,1.595257635,1.104828647,0.311008552,-0.176274167,-0.423397579,-0.442368323,-0.34246341,-0.120688724,0.156710369,0.275215185,0.367853772,0.3711559,0.235334299,0.185399821,0.229727435,-0.080113396,-0.449515328,-0.488877102,-0.514733398,-0.506393701,-0.46948443,-0.409839882,0.507699603,1.591694988,1.82017626,1.896908044,1.993667549,2.065370475,2.048911117,1.894595408,1.716933152,1.677272827,1.532673183,1.25800968,1.099962032,1.066400916,1.126772485,1.239600182,1.35546842,1.46768441,1.509440036,1.353468886,1.179143529,1.06918388,0.917165518,0.792860529,0.722892009,0.62438183,0.553103047,0.504979187,0.48055389,0.526173366,0.546161677,0.530270319,0.511400156
Population growth (annual %),SP.POP.GROW,Arab World,ARB,..,2.61176286,2.658225553,2.706572559,2.717378348,2.717246163,2.783936664,2.875759912,2.914663941,2.938162178,2.918368268,2.889987797,2.892074687,2.979639561,3.005429752,3.114197888,3.239019957,3.183854835,3.344111174,3.571988512,3.522827997,3.254130437,3.149637223,3.194913968,3.183159826,3.121706461,3.088090908,3.029988887,2.809002507,2.710505655,3.340860831,2.337987995,2.59158887,2.818622349,2.781062774,2.554663432,2.4715575,2.434801292,2.44931312,2.422400411,2.444843212,2.454092733,2.422253183,2.36907122,2.353741542,2.402135259,2.447973505,2.547956319,2.577576389,2.502858489,2.015187869,2.334195401,2.412343495,2.604545414,2.372841903,2.488480603,2.344680777,2.026530721,1.793576715,1.899837582,2.125212941,1.525900242,2.324007803,2.188485793
