Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.684760571,4.174895287,4.383672237,4.810639858,3.479449987,3.462009907,2.604199886,3.454459906,3.695219994,3.255800009,4.543970108,4.343190193,..,..,..,..,..,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.090219975,..,..,..,..,..,..,..,..,..,..,..,..,..,3.887419939,3.606129885,4.341670036,..,..,3.74496007,3.858340025,3.735929966,..,4.28008008,..,4.024030089,4.639014482,4.931210041,4.783307076,4.7926507,4.758470058,4.665563107,4.87887001,4.979930878,4.944317341,4.35243988,4.771326065,4.628623962,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Africa Western and Central,AFW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.345824957,2.463350058,2.42614007,2.43543005,2.365010023,2.42751503,2.656599998,2.558520079,..,2.498270035,2.907900095,2.784990072,2.678254604,2.810414553,2.850709915,2.666670084,2.984197974,2.667730808,3.360853672,3.023458004,3.047399521,3.398740768,3.203484297,2.905294418,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.44698,3.814640045,3.083509922,3.37947011,3.536979914,3.592930079,3.430170059,3.458699942,3.117799997,3.138230085,3.227519989,3.281549931,3.191459894,3.275929928,3.509226084,..,3.41307497,3.240008354,3.30906105,3.539299965,3.216967106,3.437969923,3.962090015,3.611720085,3.152944803,3.916239977,3.342299938,3.022559881,2.744329929,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.182010174,6.597420216,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.111420155,..,..,..,7.029509068,6.659060478,6.54889822,6.17633009,6.502108574,5.734823704,5.812751293,5.575365543,6.193917274,5.514032841,4.749246597,5.610157013
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.7170496,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.713279963,..,..,..,..,1.65971005,..,1.544119954,1.644970059,2.244899988,2.104690075,2.873929977,3.142920017,2.976629972,2.98706007,2.565778971,2.506160021,3.074209929,3.28034997,3.237070084,3.217089891,3.246720076,3.15060997,2.632130384,2.583972216,2.647289991,1.92790997
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.090219975,5.722690105,5.058509827,..,..,..,..,..,..,..,..,..,..,2.567120075,..,2.607530117,..,..,..,..,2.120110035,2.281460047,..,..,2.920000076,3.421319962,3.24000001,3.081910849,3.869999886,2.930000067,3.099999905,2.754936695,2.466878891,2.183512926,2.073064327,2.667447329,2.297108889,2.332125902,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.525500059,..,..,3.079139948,..,..,..,..,..,..,2.222759962,..,..,2.356193304,2.647289991,2.542487621,2.144195795,2.251774788,2.365928173,2.349487543,2.303077459,2.993403196,2.574648857,3.64774847,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.032866716,..,5.021100044,..,3.930559993,..,4.22755003,..,..,..,4.124774933,..,..,..,..,..,..,3.860209942,..,..,..,..
